Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04488;"Kühlkörper; K - Regler, 50x51x12";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03138;"PVC Tauchkappe schwarz; 40 x 3 x 45 lg / ca.70°Sh A";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07416;"Heizung komplett MM 230V; 2019";6.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04119;Joint ring 8 x 11,8 x 1;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00970;"Schweißschuhhalter I; 40 mm";8.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03071;"Druckfeder; 1,6x9,4x15,7x3,5 / VD-227C";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00543;"Zylinderschraube; M  6 x  20";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04789;"Insertion socket; for the tube LW13 / NW 7,2";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00549;"Screwed hose nozzle G 3/8""";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00539;Ear clip d 20;2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00674;air hose, grey 14 x 18;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04510;"Düse; 40, MA/E-K-18-S, 4mm";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03037;"Verschraubung; M12x1,5, schwarz";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07007;"Schweißschuh; 43.0135FITB-40-40 M";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04718;"Übergangsstück MLE; 36,40,58,65";1.0;0.0
