Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04886A;"Kohlebürste UX1; 2412";10.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04319;"Heating complete; 120 V / 1600 W";3.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04739;"terminal strip; 4,0-6,0²";8.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04724;"Welding shoe MM, with holder ; dia 32  x 36 mm shaped";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04292;"Vorwärmdüse 12 x 4 / kurz; MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06143;"Extruderkörper; MM, 4mm PP";5.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04320;"Ausblasrohr         Vorwärmung; MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05346;"Schweißschuh MM; 67.0104K-32-20-M";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K00970;"Schweißschuhhalter I; 40 mm";4.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07381;"Heizspirale; 18x125  MM 110V 230W";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07380;Berührschutz, Vorwärmung, MM 2019;1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03887;"Lüftergitter Antrieb; Spritzgussteil    MM";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04721;"Schaltgehäuse-Verbinder; MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05930;"Schweißschuhkopf  PFA;  Flach R";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04250;"Kabel vorkonfektioniert; 115V 3x1,5mm² 5m lg.        MM";9.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K00657;Circlip I   35 x 1,5;1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07387;"Schmelzkammer; MM, PP Salzbadnitriert";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04509;"Düse; 30, MA/E-K-18/25, 3mm";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04333;"Umleggriff NG, 26 mm; MM";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07360;MMControl 2v5, 230V+110V / 48V;9.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07383;"Kabel vorkonfektioniert; Kabelsatz MM 2019";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07425;Lüfterfilter 40x40 mm;43.0;0.04
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04785;"Kabelklammer, Polyethylen; Größe 4";5.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04251;"Luftführung-RLS; MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07315;"Adapterplate; Airfilter MM";3.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07313;"Senkkopfschraube; M4x12 -10.9 TX, ISO 7500-1";5.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07368;"Regler f. Extruder; 230 V / 250W MM";1.0;0.0
