Bauteil,Menge,Cluster,Frequenz,Jahr
K03072 (Flachkopfschraube ; M  5 x 20),9.0,1,niedrig (< 12),2018
K04407 (Schweißschuhhalter MM; 32 x 15),1.0,1,niedrig (< 12),2018
"K04423 (Halterung MEG; oben 36,40,58,65)",3.0,1,niedrig (< 12),2018
"K04512 (Düse; 40, MA/E-K-40, 4mm)",10.0,1,niedrig (< 12),2018
K04550 (Innen-6kt-Schraube; M  4 x  35),0.0,1,niedrig (< 12),2018
K04551 (Halterung; 35  Behälterbau und Deponie),0.0,1,niedrig (< 12),2018
"K04654 (Schaltgehäuse-Deckel; eloxiert, oN)",2.0,1,niedrig (< 12),2018
"K04097 (Dichtring; f.Winkelk.,k.drehb.Vorwärmdüse)",0.0,1,niedrig (< 12),2018
K04088 (Extruderschnecke; MAE/K-58),0.0,1,niedrig (< 12),2018
"K04119 (Dichtring; 8 x 11,8 x 1)",0.0,1,niedrig (< 12),2018
K04175 (Runddichtring; 10  x 3),0.0,1,niedrig (< 12),2018
K05860 (Temperature sensor for frequency converter),4.0,1,niedrig (< 12),2018
"K06072 (Verbindungsleitung; WX2PBMu-WX2Mu , orange, 1,2m lang)",0.0,1,niedrig (< 12),2018
K07180 (Öl; 100ml; EBM13),0.0,1,niedrig (< 12),2018
"K04944 (Kabel vorkonfektioniert; 1² - 29cm, grün/gelb)",3.0,1,niedrig (< 12),2018
K05144 (Ritzelwelle; 301167),3.0,1,niedrig (< 12),2018
"K05477 (Drucktaster,vandalensicher)",0.0,1,niedrig (< 12),2018
"K05815 (Display-Unit, mit Datenaufzeichnung)",2.0,1,niedrig (< 12),2018
K02525 (Holder ER                       MA-40),0.0,1,niedrig (< 12),2018
K02576 (Kompressionsdüse; MA/E-40),2.0,1,niedrig (< 12),2018
"K02499 (Verteiler , komplett; mit Vierkantmuttern)",0.0,1,niedrig (< 12),2018
"K02919 (Schaltgehäuse Baugruppe; zu MA/E-60,40,25-H)",0.0,1,niedrig (< 12),2018
"K02279 (Haltewinkel f.Schaltgehäuse KB; MA/E-60,40,25,G50      230/400)",5.0,1,niedrig (< 12),2018
K00477 (Turbinengehäuse-Unterteil kpl.; 5606),0.0,1,niedrig (< 12),2018
K00488 (Temperaturendschalter 135°C; 5625 (Klixon)),3.0,1,niedrig (< 12),2018
"K02187 (Regler f. Masse/Luft; + Halter, E5GC-QX1ACM-300)",5.0,1,niedrig (< 12),2018
K00966 (Schweißschuh; 42.01xxx-40-30-O),0.0,1,niedrig (< 12),2018
K03704 (Dichtring; MA/E-40 u. 60 lg),10.0,1,niedrig (< 12),2018
"K03605 (EMV-Filter; 230V, motorseitig)",5.0,1,niedrig (< 12),2018
K03842 (Sprengring; SW11),0.0,1,niedrig (< 12),2018
K03029 (Düse; 49               MA/E-25-S 4mm),0.0,1,niedrig (< 12),2018
"K03070 (Unterlegscheibe; MA/E-60,40,25 u. 25-S)",1.0,1,niedrig (< 12),2018
K03343 (Runddichtring; 31  x 3),0.0,1,niedrig (< 12),2018
"K04414 (Hot air guide 58,65; container version)",0.0,1,niedrig (< 12),2018
"K04488 (Dissipator; K - Regler, 50x51x12)",0.0,1,niedrig (< 12),2018
K04669 (Holder flad; LED),2.0,1,niedrig (< 12),2018
K04736 (Kabeltülle; A10 - D2),2.0,1,niedrig (< 12),2018
"K04385 (Touch guard MAK 18,25,36,40,58,65 u. MEK 18,25)",3.0,1,niedrig (< 12),2018
K04663 (orifice plate; 15),4.0,1,niedrig (< 12),2018
